Accesion No.,Book Title,Author,Rack No.,Classification,Condition,Copy,Source,Corrections
48118,Vivaranaprameya Samgraha,Ed. Suryanarayan Sastri,Xerox,C6,G,RC,MAIN,
48119,Vivaranaprameya Samgraha,Ed. Suryanarayan Sastri,R-0-Z,C6,NA,OC,MAIN,
48120,A History of Literature,Keith A B,R-14-A,K,D,OC,MAIN,
48168,The State In Ancient India,Beni Prasad,R-10-B,M,G,OC,MAIN,
49951,Nyaya Raksha Mani,Appaya Dikshitha,R-2-C,C2,G,OC,MAIN,
50454,Ten Principal Upanishads,Sankara'S Works Vol I,R-1-B,C8,G,OC,MAIN,
50457,Highways And Byeways of Literary Criticism,Kuppuswami Sastri,R-15-D,R,D,OC,MAIN,
50662,Survey of Sanskrit Literature,Kuhan Raja,R-0-Z,K,NA,OC,MAIN,
50676,History of Sanskrit Literature,A A MacDonell,R-0-Z,K,NA,OC,MAIN,
50688,Kadambarisamgraha Translation,C S R Sastry,R-1-F,G,G,OC,MAIN,
50690,Laghu Siddhanta Kaumudi,,R-0-Z,B6,NA,OC,MAIN,
51321,Servations On The Similies In The Naisada Charita,Pratap Bandyopadhayay,R-14-D,F1,G,OC,MAIN,
51322,On The Vedas,W D Whitney,R-0-Z,A6,NA,OC,MAIN,
51323,Indian Aesthetics And Science of Language,Tarapada Charkabarti,R-13-B,L,G,RC,MAIN,
51422,Index To Indian History Quarterly (1925-63),Ed. Sadhuram,R-5-B,P,G,OC,MAIN,
51434,G.O.M.L Alphatical Index Part 1,Ed. Kuppuswami Sastri,R-6-A,R,G,OC,MAIN,
51435,G.O.M.L Alphatical Index Part 2,Ed. Kuppuswami Sastri,R-6-A,R,G,OC,MAIN,
51436,Goml Alphatical Index Part 3,Ed. Kuppuswami Sastri,R-6-A,R,G,OC,MAIN,
51437,Author Index,Ed. Kuppuswami Sastri,R-6-A,R,G,OC,MAIN,
51444,AIOC 1919-1944 Index To Papers,K V Sharma,R-8-A,R,G,OC,MAIN,
51445,AIOC 1945-1954 Index To Papers,K V Sharma,R-6-A,R,G,OC,MAIN,
51446,AIOC 19455-1965 Index To Papers,K V Sharma,R-6-A,R,G,OC,MAIN,
51899,Kuvalayananda Part 1 R.S Vadyar Ed,Appaya Dikshitha,R-13-F,J,G,OC,MAIN,
51900,Kuvalayananda Part 1 R.S Vadyar Ed,Appaya Dikshitha,R-0-Z,J,NA,OC,MAIN,
51901,Kuvalayananda Part 1 R.S Vadyar Ed,Appaya Dikshitha,R-13-C,J,G,OC,MAIN,
51909,Matta Vilasa Prahasana Dr Unni Ed,Mahendra Pallva,R-9-C,I,G,OC,MAIN,
51950,Anyapadesasatakam,Ed H B Nagaraj Rao (Nilakanta Dikshitar),R-13-A,F2,G,OC,MAIN,
51951,Bana,Karmarkar R D,R-9-E,M1,G,OC,MAIN,
51952,Essays In Sanskrit Criticism,Krishnamoorthy K,R-1-C,R,G,OC,MAIN,
51953,Mysticism In The Rig Veda,Mainkar T G,R-1-B,A6,D,OC,MAIN,
52033,Principal Upanishads,Divine Life,R-0-Z,C8,NA,OC,MAIN,
52099,Kalidasa-His Art And Thought,Mainkar T G,R-14-F,M1,G,OC,MAIN,
52187,Dhvanyalokha And Its Critics,Krishnamoorthy K,R-1-F,J,D,OC,MAIN,
52188,On The Dramatic Systems of Hindus,H H Wilson,R-0-Z,I1,NA,OC,MAIN,
52246,The Poetic Light Vol I (Kavya Prakasha),Trivedi,R-0-Z,J,NA,OC,MAIN,
52247,The Poetic Light Vol I (Kavya Prakasha),Trivedi,R-0-Z,J,NA,OC,MAIN,
52248,The Poetic Light Vol II (Kavya Prakasha),Trivedi,R-0-Z,J,NA,OC,MAIN,
52249,The Poetic Light Vol II (Kavya Prakasha),Trivedi,R-0-Z,J,NA,OC,MAIN,
52250,Studies In Sanskrit Dramatic Criticism,T G Minkar,R-13-C,I1,G,OC,MAIN,
52251,Bhoja Prabhandha,J Shastri Ed,R-5-A,F1,G,OC,MAIN,
52252,The Dasarupa,E D Haas,R-13-B,I1,G,OC,MAIN,
52253,Bhatti Kavya-Study,Ed Narang,R-14-E,F1,G,OC,MAIN,
52254,Vrittaratnakara,Motilal Banarsidass,R-4-F,B2,G,OC,MAIN,
52255,Vrittaratnakara,Motilal Banarsidass,R-5-E,B2,G,OC,MAIN,
52256,Vrittaratnakara,Motilal Banarsidass,R-4-F,B2,G,OC,MAIN,
52257,Vrittaratnakara,Motilal Banarsidass,R-0-Z,B2,NA,OC,MAIN,
52258,Vrittaratnakara,Motilal Banarsidass,R-3-F,B2,D,OC,MAIN,
52259,Vrittaratnakara,Motilal Banarsidass,R-4-E,B2,D,OC,MAIN,
52260,Vrittaratnakara,Motilal Banarsidass,R-7-E,B2,NA,OC,MAIN,
52261,Vrittaratnakara,Motilal Banarsidass,R-0-Z,B2,NA,OC,MAIN,
52342,Concept of Ancient Indian Theatre,Christopher Byrski,R-13-C,I1,G,OC,MAIN,
52343,The Kadambari of Bana,Ridding C M,R-5-A,G,G,OC,MAIN,
52344,The Nighantu And Nirukta,Lakshman Sarup,R-1-D,B5,D,OC,MAIN,
52345,A Companion To Sanskrit Literature,Banerji S C,R-6-B,K,G,OC,MAIN,
52346,Legends In The Mahabharatha,Dange S V,R-8-C,D2,G,OC,MAIN,
52347,Bhavabhuti,Mirashi V V,R-9-A,M1,G,OC,MAIN,
52348,Mahasubhasitasangraha,Sternbach L,R-0-Z,F2,NA,OC,MAIN,
52349,A Classical Dictionary of Hindu Mythology,John Dowson,R-6-A,R,G,OC,MAIN,
52464,Theatre of The Hindus,Willson H H,R-13-C,I1,G,OC,MAIN,
52465,A Sanskrit Primer,Perry E D,R-0-Z,O,NA,OC,MAIN,
52466,Vedic Mythology,A A MacDonell,R-5-C,A6,G,OC,MAIN,
52467,Yogasutra of Pantanjali,Ballantyne,R-2-A,C4,G,OC,MAIN,
52468,A History of Sanskrit Literature,A A MacDonell,R-0-Z,K,NA,OC,MAIN,
52743,Upanishad Bhashya Part I,Sankaracharya,R-0-Z,C6,NA,OC,MAIN,
52751,Dhvanyaloka,Krishnamurthy T R,R-0-Z,J,NA,OC,MAIN,
52821,Scholar Extraordinary Max Muller,N C Chaudhuri,R-14-B,M,G,OC,MAIN,
53227,The Rig Veda,Kaegi A,R-1-C,A1,G,OC,MAIN,
53228,Sanskrit Dramas of The Twentieth Century,Usha Satyavrat,R-14-A,I1,G,OC,MAIN,
53229,Chamdeva Sastri Felicitation Vol,Usha Satyavrat,R-6-A,P,G,OC,MAIN,
53656,Pantanjali Yogasutram,Ed. Bemares,R-0-Z,C4,NA,OC,MAIN,
53657,Kavyaprasaka (Full),T R Ganganath Sha,R-0-Z,J,NA,OC,MAIN,
53658,Life And Society In The Vedic Age,Priti Mitra,Xerox,A6,NA,RC,MAIN,
53659,Two Brahmanical Institutions. Gotra And Charans,Ghurye G S,R-5-E,A6,G,OC,MAIN,
53660,The Philosophy of The Upanisads,Gough A E,R-2-E,C6,G,OC,MAIN,
53661,Indian Aesthetics And Science of Language,Dr T Chakravarti,R-3-C,L,G,OC,MAIN,
53662,Forms of Marriage In Ancient India,Chatterjee Sastri,R-4-F,A6,G,OC,MAIN,
53663,Forms of Marriage In Ancient India Vol II,Chatterjee Sastri,R-4-F,A6,G,OC,MAIN,
53766,Atharva Veda - Vol I,W D Whitney,R-2-E,A4,G,OC,MAIN,
53767,Atharva Veda - Vol II,W D Whitney,R-1-A,A4,NA,OC,MAIN,
53768,Rasagangadhara Part II,Ed. Vidya Bhavan,R-0-Z,J,NA,OC,MAIN,
53769,Rasagangadhara Part I,Ed. Vidya Bhavan,R-13-F,J,G,OC,MAIN,
53770,Natakacandrika,Rupa Goswami,R-13-C,I,G,OC,MAIN,
53771,Grammar of Sanskrit Language,Keilhorn,R-0-Z,L,NA,OC,MAIN,
53772,Kalidasa Kosa,S C Banerji,R-3-A,R,D,OC,MAIN,
53773,Raghavapandavrya,Kaviraja Pandita,R-5-E,F1,D,OC,MAIN,
53774,Gitagovinda Kavyam,Jayadeva,R-0-Z,F2,NA,OC,MAIN,
53775,Gitagovinda Kavyam,Jayadeva,R-0-Z,F2,NA,OC,MAIN,
53776,Urubhangam,Bhasa,R-7-E,I,D,OC,MAIN,
53777,Urubhangam,Bhasa,R-4-F,I,G,OC,MAIN,
53778,Caurapancasika,Bilhana,R-13-A,F2,G,OC,MAIN,
53779,Natakalaksanaratna Kosa,Sagaranandin,R-13-C,I1,G,OC,MAIN,
53780,Gauridiganbaraprahasana,Sankara Mishra,R-9-C,I,G,OC,MAIN,
54242,Bana's Kadambari (Text And Translation),M R Kale,R-4-E,G,D,OC,MAIN,
54243,Bana's Kadambari (Text And Translation),M R Kale,R-0-Z,G,NA,OC,MAIN,
54244,Pratimanataka,Bhasa,R-9-A,I,D,OC,MAIN,
54245,Pratimanataka,Bhasa,R-9-A,I,G,OC,MAIN,
54246,Vikramorvasiyam,Kalidas/Devadhar,R-4-F,I,G,OC,MAIN,
54247,Vikramorvasiyam,Kalidas/Devadhar,R-3-E,I,G,OC,MAIN,
54248,Prabodhacandrodaya,Sita Nawbied,R-5-E,I,D,OC,MAIN,
54249,Prabodhacandrodaya,Sita Nawbied,R-5-B,I,G,OC,MAIN,
54250,History of Classical Sanskrit Literature,Krishnama Chariar,R-5-D,K,G,OC,MAIN,
54251,Critical Study of Dandin And His Works,Gupta D K,R-9-D,M1,G,OC,MAIN,
54252,Kautilya's Arthasastra,Shama Sastry R,R-0-Z,C8,NA,OC,MAIN,
54253,Ekarta Namamala Dvyakshara Namamala,Saubhari,R-7-A,B5,G,OC,MAIN,
54254,Medini Kosa of Sri Medinkara,Ed. Chowkamba,R-12-C,B5,G,OC,MAIN,
54255,Namamalika of Bhoja,Kulkarni E D,R-7-A,B5,G,OC,MAIN,
54256,Anekartha Sangraha,Hemacandra,R-7-E,B5,G,OC,MAIN,
54306,Kalidasa Citations,N R Subbanna,R-4-F,M,G,OC,UGC,
54307,The Riddle of The Ramayana,C V Vaidya,R-4-F,D4,G,OC,UGC,
54308,Mind and Art of Bhavabhuti,Vimla Gera,R-4-F,M,G,OC,UGC,
54309,Naishadhiya Charita,"Sri Harsha, Nirnaya Sagar Ed.",R-4-F,F1,G,OC,UGC,
54310,Alankarapradipa,Vishveshvara,R-4-F,J,TBR,OC,UGC,
54311,Alankarashekhara,Keshavamisra,R-4-F,J,G,OC,UGC,
54312,Apastambagrhyasutra,Apastamba,R-4-F,A5,G,OC,UGC,
54313,Apastambadharmasutra,"Apastamba, Chowkamba",R-4-F,A5,D,OC,UGC,
54314,Vyaktiviveka (Hindi Comm.),"Mahimabhatta, Chowkamba",R-0-Z,J,NA,OC,UGC,
54315,Valmiki Ramayana Kosa,Ramkumar Roy,R-4-F,D1,G,OC,UGC,
54316,Suklayajuh Pratisakhya,"Katyanacharya, Chowkamba Ed.",R-4-F,A2,G,OC,UGC,
54317,Vakroktijivita,"Kuntaka, Chowkamba Ed.",R-4-F,J,G,OC,UGC,
54318,Raghavanaishadhiya,Haradattasuri,R-4-F,F1,G,OC,UGC,
54319,Gathasaptasati,"Halasathavahana, Chowkamba Ed.",R-0-Z,F2,NA,OC,UGC,
54320,Vyasasubhashita Sangraha,L Sternbach,R-4-F,D2,G,OC,UGC,
54642,Critical Survey of The Life and Works of Ksemendra,R Dattaray,R-4-F,M,G,OC,UGC,
54643,Kautalya Studies,Sten Konow,R-4-F,C8,G,OC,UGC,
54644,Introduction To Bharata's Natya Sastra,Adya Rangacharya,R-4-F,J,G,OC,UGC,
54645,Concept of Poetry,Dr. Kalipada Giri,R-4-F,J,G,OC,UGC,
54774,New Catalogus Catalogorum Vol I,,R-6-A,R,G,OC,MAIN,
54775,New Catalogus Catalogorum Vol II,,R-6-A,R,G,OC,MAIN,
54776,New Catalogus Catalogorum Vol III,,R-6-A,R,G,OC,MAIN,
54777,New Catalogus Catalogorum Vol IV,,R-6-A,R,G,OC,MAIN,
54778,New Catalogus Catalogorum Vol V,,R-6-A,R,G,OC,MAIN,
54779,New Catalogus Catalogorum Vol VI,,R-6-A,R,G,OC,MAIN,
54780,New Catalogus Catalogorum Vol VII,,R-6-A,R,G,OC,MAIN,
54781,New Catalogus Catalogorum Vol VIII,,R-6-A,R,G,OC,MAIN,
54854,The Encyclopaedia of Indian Philosophies Vol I,Karl H Potter,R-5-D,R,G,OC,MAIN,
54855,Women In Sanskrit Dramas,Ratnamayi Diksit,R-5-E,I2,G,OC,MAIN,
54856,Society And Culture In The Time of Dandin,Gupta D K,R-9-D,M1,G,OC,MAIN,
54857,Camatkaracandrika,Sarasvati Mohan P,R-13-D,J,G,OC,MAIN,
54858,The Mahabarata: A Criticism,Vaidya C V,R-8-C,D2,G,OC,MAIN,
54859,Alankarasarvasava of Ruyyaka,Dr.S.S. Janaki,R-5-D,J,G,OC,MAIN,
54860,Kalidasa's Vision of Kumarasambhava,Suryakantha,R-14-D,F1,G,OC,MAIN,
54861,Cult of Jagannatah,K.C. Mishra,R-10-A,M,G,OC,MAIN,
54999,Muttuswamy Diksitar,Ed. Dr. V. Raghavan,R-14-E,M1,G,OC,MAIN,
55142,"Kalidasa, Date, Life And Works",V.V. Mirashi,R-14-D,M1,G,OC,MAIN,
55143,Imagery of Kalidasa,L.S. Bhandare,R-14-D,M1,G,OC,MAIN,
55144,Ancient Indian Erotics And Erotic Literature,S.K. De,R-14-F,K,G,OC,MAIN,
55145,Tragedy And Sanskrit Drama,G.K. Bhat,R-13-C,I1,D,OC,MAIN,
55146,India of The Age of The Brahmanas,Jogiraj  Basu,R-10-A,A6,G,OC,MAIN,
55147,Critical Survery of The Life And Works of Ksemendra,R. Dattaray,R-1-F,J1,G,OC,MAIN,
55148,Drama In Sanskrit Literature,Adya Rangacharya,R-13-C,I1,G,OC,MAIN,
55149,Kalidasa,Walter Ruben,R-14-D,M1,G,OC,MAIN,
55150,Gitagovinda,George Keyt,R-5-E,F2,G,OC,MAIN,
55151,Myth And Reality,D.D. Kosambi,R-5-B,M,G,OC,MAIN,
55152,Vedanta Muktavali,Arthur Venis,R-2-B,C6,G,OC,MAIN,
55153,BrahmaSutra Sankara Bhashya,V.M. Apte,R-2-B,C6,G,OC,MAIN,
55394,Kenopanishad,Ed. R.K. Mutt,R-1-B,C6,G,OC,MAIN,
55395,Kenopanishad,Ed. R.K. Mutt,R-5-B,C6,G,OC,MAIN,
55396,Kenopanishad,Ed. R.K. Mutt,R-1-B,C6,G,OC,MAIN,
55397,Narayaneeyam,Ed. R.K. Mutt,R-5-D,F2,G,OC,MAIN,
55398,Narayaneeyam,Ed. R.K. Mutt,R-0-Z,F2,NA,OC,MAIN,
55399,Narayaneeyam,Ed. R.K. Mutt,R-13-A,F2,G,OC,MAIN,
55400,Yadavabhyadayam Full,Ed U.T. Veeraragavachary,R-14-C,F1,G,OC,MAIN,
55401,Subhashita Niti,Ubhaya Vedanta Grantamala,R-13-A,F2,G,OC,MAIN,
55402,Subhashita Niti,Ubhaya Vedanta Grantamala,R-13-A,F2,G,OC,MAIN,
55590,Urubhangam of Bhasa,Ed .C.R Devadhar,R-4-F,I,D,OC,MAIN,
55591,Pratima Nataka,Ed K.Ray,R-0-Z,I,NA,OC,MAIN,
55592,Studies In The Natya Sastra,G.H.Tarlekar,R-14-B,J,G,OC,MAIN,
55593,Jataka Mala,,R-5-B,S,G,OC,MAIN,
55594,Jataka Mala English Translation,J.S.Speyer,R-5-C,S,G,OC,MAIN,
55595,The Taittiriya Pratisakya And Tribashyaratna,W.D.Whitney,R-1-A,A2,G,OC,MAIN,
55596,The Vedas of The Black Yajus School Taittiriya Samhita Volume I,Keith A B,R-5-D,A2,G,OC,MAIN,
55597,The Vedas of The Black Yajus School Taittiriya Samhita Volume I I,Keith A B,R-1-A,A2,G,OC,MAIN,
55598,A Companion To Contemperory Sanskrit,H.Nakamura,R-14-D,L,G,OC,MAIN,
55599,Vedic Meter,E.V.Arnold,R-0-Z,B2,NA,OC,MAIN,
55600,Figurative Poetry In Sanskrit Literature,Kalnath Jha,R-13-B,J,G,OC,MAIN,
55601,Krishnalilatharangini,Shaiti Samiti,R-13-A,F2,G,OC,MAIN,
55602,DasakumaraCharitham of Dandin,Ed M.R.Kale,R-0-Z,G,NA,OC,MAIN,
55603,Harshacarita Sangraha,R. V. Krishnamachariar,R-4-F,G,D,OC,MAIN,
55604,Harshacarita Sangraha,R. V. Krishnamachariar,R-0-Z,G,NA,OC,MAIN,
55605,Harshacarita Sangraha,R. V. Krishnamachariar,R-9-E,G,G,OC,MAIN,
55648,Laws And Practice In Sanskrit Darma,Ed. Chowkamba,R-5-D,I1,G,OC,MAIN,
55649,Abhinavagupta,"K.C. Pandey, Chowkamba Edn.",R-5-D,M1,G,OC,MAIN,
55650,Hymns of The Samaveda,R T H Griffith,R-1-A,A3,G,OC,MAIN,
55651,Agnipurana Vol I,M.D.Sastri,R-8-C,E,G,OC,MAIN,
55652,Agnipurana Vol II,M.D.Sastri,R-0-Z,E,NA,OC,MAIN,
55653,The Aesthetic Experience According To Abinava Gupta,Romio GNLOI,R-5-B,J1,D,OC,MAIN,
55654,Sanskrit Compounds A Philosophical Study,M.S.Murthy,R-15-C,B6,G,OC,MAIN,
55655,Outlines of Sanskrit Poetics,Vijayarandhara,R-5-B,J,D,OC,MAIN,
55656,Sanskrit Phonetics,Dr.V.Mishra,R-0-Z,L,NA,OC,MAIN,
55657,An Interpretive Study of Kalidasa,Dr.D Sarma,R-4-E,M1,G,OC,MAIN,
55767,Indian Theories of Meaning,K.K.Raja,R-1-E,J1,D,OC,MAIN,
55768,Alankarasamgraha of Amritanandyogin,V.Krishnaswamy And Ramakrishna Sarma,R-13-D,J,G,OC,MAIN,
55818,Bhagavat Gita,Ed Bhakti Vedanta,R-8-C,C6,G,OC,MAIN,
55819,Isopanishad,Ed Bhakti Vedanta,R-1-B,C6,G,OC,MAIN,
57653,Gowda Purana - A Study,N.Gangadaran,R-0-Z,E,NA,OC,MAIN,
57672,History of Indian Culture,M J John,R-0-Z,M,NA,OC,MAIN,
57805,Historical Mahakavyas In Sanskrit,Candraprabha,R-4-F,K,G,OC,UGC,
57859,Appayya Dikshita,N Ramesan,R-0-Z,M,NA,OC,UGC,
57860,Mahasubhashita Sangraha - Vol II,L Sternbach,R-4-F,F2,G,OC,UGC,
57861,Indian Riddles,L Sternbach,R-4-F,M,G,OC,UGC,
57862,Contribution of Magha To Sanskrit Literature,Dr S A Tenkshe,R-3-D,M1,NA,OC,MAIN,
57863,Harshacarita Sangraha (With English Translation - Separate),Krishnama Chariar R V,R-9-E,G,G,OC,MAIN,
57864,Harshacarita Sangraha (With English Translation - Separate),Krishnama Chariar R V,R-4-F,G,TBR,OC,MAIN,
57865,Harshacarita Sangraha,Krishnama Chariar R V,R-9-E,G,G,OC,MAIN,
57866,Harshacarita Sangraha (With English Translation - Separate),Krishnama Chariar R V,R-9-E,G,G,OC,MAIN,
57979,Naishadha Mahakavyam I To V Cantos,Sriharsha,R-14-C,F1,D,OC,MAIN,
57980,Naishadham  I To V Cantos,Sriharsha,R-0-Z,F1,NA,OC,MAIN,
57981,Natyashastram ( 1To2 Chanpters),Bharata,R-13-B,J,G,OC,MAIN,
57982,Chitra Mimamsa,Dharananda,R-13-D,J,D,OC,MAIN,
57983,Chitra Mimamsa,Dharananda,R-13-B,J,G,OC,MAIN,
57984,Chitra Mimamsa,Dharananda,R-13-B,J,G,OC,MAIN,
57985,Chitra Mimamsa,Dharananda,R-13-D,J,G,OC,MAIN,
57986,Urubhangam,Devadhar C R,R-4-F,I,D,OC,MAIN,
57987,Urubhangam,Devadhar C R,R-0-Z,I,NA,OC,MAIN,
57988,Urubhangam,Devadhar C R,R-3-E,I,G,OC,MAIN,
57989,Urubhangam,Devadhar C R,R-4-F,I,D,OC,MAIN,
58012,Srimad Bhagavatam Vol 1,Mehta V D,R-8-C,E,G,OC,MAIN,
58013,Srimad Bhagavatam Vol 2,Mehta V D,R-8-C,E,G,OC,MAIN,
58109,Ritusamhara,M.R.Kale,R-14-C,F2,G,OC,MAIN,
58110,Pratima Natakam,Dharananda Sastri,R-9-A,I,D,OC,MAIN,
58111,Pratima Natakam,Dharananda Sastri,R-9-A,I,D,OC,MAIN,
58112,Pratima Natakam,Dharananda Sastri,R-5-B,I,G,OC,MAIN,
58113,Pratima Natakam,Dharananda Sastri,R-9-A,I,D,OC,MAIN,
58114,Malatimadhavam,M R Kale,R-9-A,I,G,OC,MAIN,
58115,Prabhodachandrodayam,Dr S K Nambiar,R-9-A,I,G,OC,MAIN,
58116,Prabhodachandrodayam,Dr S K Nambiar,R-5-B,I,NA,OC,MAIN,
58117,Kalidasa Bibliography,Satyapal Narang,R-14-D,R,G,OC,MAIN,
58118,Studies On Bilhana And His Vikramamkadevacarita,Mishra B N,R-14-B,M1,G,OC,MAIN,
58119,Readings In Kautilya's Arthasastra,Sinha B P,R-10-E,C8,G,OC,MAIN,
58120,English Sanskrit Dictionary,Apthe V S,R-3-B,R,G,OC,MAIN,
58441,Conribution Magha To Sanskrit Literature,Dr S C Tenkshe,R-14-B,M1,G,OC,MAIN,
58442,Abhijanana Shakuntalam,Ganjandragadkar,R-5-B,I,G,OC,MAIN,
58586,Literary And Historical Studies In Indology,Minashi V V,R-10-B,M,G,OC,MAIN,
58587,Scenes From Indian Mythology,Syed Mehdi Imam,R-8-A,M,G,OC,MAIN,
58588,Studies In The Puranic Recods On Hindu Rites And Customs,Hazra R C,R-0-Z,E,NA,OC,MAIN,
58589,India of The Age of Brahmanas,Dr Jogiraj Basu,R-10-A,A6,G,OC,MAIN,
58590,Life And Society In The Vedic Age,Dr Priti Mitra,R-1-D,A6,G,OC,MAIN,
58591,Nilamathapurana I,Dr Ved Kumari,R-5-D,E,G,OC,MAIN,
58592,Nilamathapurana II,Dr Ved Kumari,R-5-B,E,G,OC,MAIN,
58593,The Brahaddevata Part I,Macdonall A A,R-1-C,A6,G,OC,MAIN,
58594,The Brahaddevata Part II,Macdonall A A,R-1-C,A6,G,OC,MAIN,
58595,Epic Mythology,Ed. Hopkins,R-8-C,D4,G,OC,MAIN,
58596,Grhyasutras Part I,S B E XXIX Maxmuller,R-4-F,A5,G,OC,MAIN,
58597,Grhyasutras Part II,F Maxmuller,R-4-F,A5,G,OC,MAIN,
58598,Imagery In The Mahabharata,Bhatta Charaya SS,R-8-B,D2,G,OC,MAIN,
58599,Avimaraka: Loves Enchanted World,Mason J L,R-9-A,I,G,OC,MAIN,
58600,The Theory of Rasa In Sanskrit Drama,Hariram Mishra,R-13-E,I1,G,OC,MAIN,
58601,Works of Kalidasa Vol I (Dramas),Devadhar C R,R-14-C,I,G,OC,MAIN,
58602,A Companion To Sanskrit Literature,Banerjee S C,R-5-C,K,G,OC,MAIN,
58849,Mahabharata Subharita Ratnakaram,Ganesan A K,R-0-Z,D2,NA,OC,MAIN,
59235,Towards Better Questions,A S S N Indian Universities New Delhi,R-10-B,R,G,OC,MAIN,
59236,Monograph On Grading For Universities,A S S N Indian Universities New Delhi,R-10-B,R,G,OC,MAIN,
59237,Monograph On Grading For Universities,A S S N Indian Universities New Delhi,R-10-B,R,G,OC,MAIN,
59238,The Management of Examination,A S S N Indian Universities New Delhi,R-10-B,R,G,OC,MAIN,
59264,Kalidasa,Karmarkar R D,R-10-B,M1,G,OC,MAIN,
59265,Bhavabhuti,Karmarkar R D,R-9-A,M1,G,OC,MAIN,
59266,Sanskrit Drama,Bhat G K,R-13-C,I1,G,OC,MAIN,
59385,The Bhakti Sect of Vallabhacarya,Richard Barz,R-2-C,C8,G,OC,MAIN,
59386,Hindu Polytheism,Alain Danielou,R-10-A,M,NA,OC,MAIN,
59567,Gangalahari,Varadarajan K N,R-13-A,F2,G,OC,MAIN,
59568,Samba Pancasika,Varadarajan K N,R-13-A,F2,G,OC,MAIN,
59569,Asti Kopa Khyanam,Varadarajan K N,R-9-D,K,G,OC,MAIN,
59570,Nalopakhyanam,Varadarajan K N,R-9-C,D4,G,OC,MAIN,
59571,Sudhama Caritam,Varadarajan K N,R-9-D,D4,G,OC,MAIN,
59572,Candrahasa Caritam,Varadarajan K N,R-9-D,G,G,OC,MAIN,
59573,Lakshmi Lahari,Jagannatha,R-13-A,F2,G,OC,MAIN,
59574,Vipancika,Ed. Nagaraja Rao,R-9-D,O,G,OC,MAIN,
59575,Subhasita Kaustubha,Ed. Nagaraja Rao,R-0-Z,F2,NA,OC,MAIN,
59796,A Comprehensive History of Vedic Literature,Satya Shrava,R-5-E,K,G,OC,MAIN,
60910,Indian Kavya Literature Vol I,Warder A K,R-5-A,K,G,OC,MAIN,
60911,Indian Kavya Literature Vol II,Warder A K,R-1-E,K,G,OC,MAIN,
60912,Indian Kavya Literature Vol III,Warder A K,R-1-F,K,G,OC,MAIN,
60913,An Outline of The Religious Literature of India,Farquhar N,R-14-A,M,G,OC,MAIN,
60914,Veda Sammullasah,Satya Bhusam Yogi Smt Vandita Aroda,R-1-C,A6,G,OC,MAIN,
60915,Sanskrit Syntax,Speijer J S,R-1-E,L,G,OC,MAIN,
60916,Advaita & Visistadvaita,Srinivasachari S N,R-1-A,C6,G,OC,MAIN,
60917,Kiratarjuniyam,M R Kale,R-14-D,F1,G,OC,MAIN,
60918,Yoga Vedanta Dictionary,Swami Sivananda,R-7-A,R,G,OC,MAIN,
60919,History of Classical Sanskrit Literature,Gaurinatha Sastry,R-14-A,K,G,OC,MAIN,
60920,Ancient Indian Historical Tradition,Pangitan F E,R-10-B,M,G,OC,MAIN,
60921,Rg Vedic India,Das A C,R-1-C,A1,G,OC,MAIN,
60922,Principles of Literary Criticism In Sanskrit,Divedi R C,R-13-E,J,G,OC,MAIN,
60923,History of Indian Literature,Winternitz M,R-14-A,K,G,OC,MAIN,
60924,Raghuvamsa I To V,M R Kale,R-5-E,F1,D,OC,MAIN,
60925,Language,L Bloomfeild,R-10-C,L,G,OC,MAIN,
60926,A Comparative Study of The Commentaries On Bhagavadgita,Mainkar T G,R-6-B,C6,G,OC,MAIN,
60927,In The Image of Fire,Dand M Knipe,R-1-C,A6,G,OC,MAIN,
60928,Brahmanda Purana,Jagadis Sastri,R-8-D,E,G,OC,MAIN,
60929,Revalation And Reason In Advaita Vedanta,Satchidananda Murthy,R-0-Z,C6,NA,OC,MAIN,
60930,The Encyclopaedia of Indian Philosophies Vol II,Karl H Potter,R-5-D,R,G,OC,MAIN,
60931,Advaita of Sankara Reappraisal,Mudgal S G,R-1-D,C6,G,OC,MAIN,
60932,A Concodence To The Pricipal Upanishads And Bhagavadgita,Col G A Jacob,R-6-A,C6,G,OC,MAIN,
60933,Sankhya Sutras of Pancahasikha And Sankhya Tatvavaloka,Swami Hariharananda,R-2-F,C3,G,OC,MAIN,
60934,History of Indian Philosophy Vol IV,Das Gupta S N,R-1-C,K,G,OC,MAIN,
60935,History of Indian Philosophy Vol V,Das Gupta S N,R-5-A,K,G,OC,MAIN,
60936,History of Indian Literature Vol III Part I,Winternitz M,R-14-A,K,G,OC,MAIN,
62053,Aesthetics of The Tamils,Meenakshi Sundaram T P,R-13-E,J,G,OC,MAIN,
62054,Advaita Vedanta,Balasubrahmanyan R,R-4-F,C6,G,OC,MAIN,
62055,Indiyaezirkalai,Thirujnanasambandam,R-10-E,J,G,OC,MAIN,
62056,The Classical Law of India,Robert Lingat,R-1-E,A5,G,OC,MAIN,
62057,The Atharva Veda And The Gopatha Brahmana,Bloomfield M,R-1-C,A4,G,OC,MAIN,
62058,The Kapalikas And Kalamukhas,David N Lorenzen,R-1-F,C8,G,OC,MAIN,
62192,Sanskrit Essays On The Value of The Language And The Literature,Raghavan V,R-15-D,R,G,OC,MAIN,
62193,Avyaya Kosa,Srivatsankacharya V,R-8-D,R,G,OC,MAIN,
